method	dev_mean	dev_max	dev_cvar	held_mean	held_max	held_cvar	global_mean	global_max	global_cvar	gap_lt_1
Fixed beta=0.944	0.264	1.328	1.055	0.359	1.067	1.067	0.29	1.328	1.059	9/11
Refresh R0=1000	0.406	0.885	0.811	0.041	0.124	0.124	0.307	0.885	0.713	11/11
